proteinID domain domStart domEnd
A0A0C4DH32 IPR013783 17 117
A0AV02 IPR004841 45 409
A0AV96 IPR012677 43 237
A0AV96 IPR012677 239 335
A0AVF1 IPR011990 34 252
A0AVF1 IPR011990 285 494
A0AVF1 IPR013026 57 124
A0AVF1 IPR013026 151 218
A0AVI2 IPR000008 1 106
A0AVI2 IPR000008 157 275
A0AVI2 IPR000008 305 412
A0AVI2 IPR000008 1088 1237
A0AVI2 IPR000008 1271 1400
A0AVI2 IPR000008 1507 1630
A0AVI2 IPR000008 1703 1728
A0AVI2 IPR000008 1742 1943
A0AVI2 IPR006614 775 833
A0AVI2 IPR006614 846 901
A0AVI2 IPR006614 908 946
A0AVI2 IPR006614 971 1003
A0AVI2 IPR012560 598 665
A0AVI2 IPR012561 687 761
A0AVI2 IPR012968 233 307
A0AVI2 IPR032362 1932 2022
A0AVK6 IPR011991 108 184
A0AVK6 IPR011991 259 349
A0AVT1 IPR016040 37 423
A0AVT1 IPR016040 439 937
A0AVT1 IPR018965 921 1043
A0AVT1 IPR019572 625 889
A0AVT1 IPR032418 225 292
A0AVT1 IPR032420 294 361
A0FGR8 IPR000008 382 506
A0FGR8 IPR000008 523 671
A0FGR8 IPR000008 777 915
A0FGR8 IPR031468 191 370
A0FGR9 IPR000008 298 426
A0FGR9 IPR000008 430 595
A0FGR9 IPR000008 750 883
A0FGR9 IPR031468 114 290
A0JNW5 IPR026854 3 95
A0M8Q6 IPR013783 2 101
A0PG75 IPR025659 121 263
A0PJX0 IPR011992 1 183
A0PJX2 IPR006571 53 215
A0PJY2 IPR013087 288 317
A0PJY2 IPR013087 258 289
A0PJY2 IPR013087 343 423
A0PJY2 IPR013087 316 343
A1A4S6 IPR008936 389 581
A1A4S6 IPR001452 728 786
A1A4S6 IPR011993 264 374
A1A4Y4 IPR027417 12 181
A1IGU5 IPR000219 9 227
A1IGU5 IPR001452 592 672
A1IGU5 IPR001452 494 568
A1IGU5 IPR027267 242 455
A1IGU5 IPR011511 511 561
A1KZ92 IPR000483 180 232
A1KZ92 IPR001007 1393 1451
A1KZ92 IPR013783 233 506
A1KZ92 IPR013783 507 599
A1KZ92 IPR003599 240 324
A1KZ92 IPR003599 336 416
A1KZ92 IPR003599 425 506
A1KZ92 IPR003599 517 598
A1KZ92 IPR013098 234 317
A1KZ92 IPR013098 419 505
A1KZ92 IPR013098 512 597
A1KZ92 IPR032675 35 238
A1L0T0 IPR011766 467 618
A1L0T0 IPR029035 265 431
A1L0T0 IPR029035 203 213
A1L0T0 IPR012001 53 214
A1L0T0 IPR029061 51 216
A1L0T0 IPR029061 424 627
A1L157 IPR008952 113 219
A1L390 IPR000219 86 293
A1L390 IPR011993 278 410
A1L443 IPR024309 14 753
A1L453 IPR009003 49 294
A1L4K1 IPR001870 546 744
A1L4K1 IPR003877 619 743
A1L4K1 IPR013783 367 564
A1L4K1 IPR013320 566 743
A1X283 IPR001452 150 212
A1X283 IPR001452 220 322
A1X283 IPR001452 361 445
A1X283 IPR001452 852 911
A1X283 IPR001683 4 138
A1X283 IPR011511 855 909
A1Z1Q3 IPR002589 59 240
A2A288 IPR000571 248 279
A2A288 IPR021869 89 244
A2A2Y4 IPR000299 32 312
A2A2Y4 IPR011993 218 361
A2A2Y4 IPR014352 111 225
A2A2Y4 IPR014847 322 368
A2A2Y4 IPR029071 32 113
A2A2Y4 IPR019749 28 225
A2A368 IPR002190 113 312
A2A368 IPR021072 3 96
A2A3K4 IPR029021 75 252
A2A3K4 IPR003595 150 243
A2A3L6 IPR011990 25 393
A2A3L6 IPR013026 36 386
A2CJ06 IPR000433 222 269
A2CJ06 IPR011992 8 119
A2CJ06 IPR011992 122 220
A2CJ06 IPR015153 8 118
A2CJ06 IPR015154 124 217
A2IDD5 IPR029329 56 165
A2PYH4 IPR001650 519 720
A2PYH4 IPR004179 777 1092
A2PYH4 IPR014001 277 492
A2PYH4 IPR011991 688 789
A2PYH4 IPR027417 277 490
A2PYH4 IPR027417 495 671
A2RRH5 IPR011047 93 244
A2RRH5 IPR011047 502 585
A2RRH5 IPR011047 733 823
A2RRH5 IPR015943 22 265
A2RRH5 IPR015943 509 827
A2RRP1 IPR011044 90 191
A2RRP1 IPR011044 232 362
A2RRP1 IPR013244 726 1365
A2RRP1 IPR015943 100 170
A2RRP1 IPR015943 234 257
A2RRP1 IPR015943 298 356
A2RRP1 IPR029145 90 371
A2RTY3 IPR016024 138 360
A2RTY3 IPR016024 388 476
A2RU30 IPR029325 126 291
A2RUC4 IPR003347 102 267
A2RUH7 IPR013783 48 238
A2RUH7 IPR013783 258 353
A2RUH7 IPR003599 60 143
A2RUH7 IPR003599 267 351
A2RUH7 IPR013098 65 139
A2RUH7 IPR013098 261 350
A2RUS2 IPR001194 105 291
A2RUS2 IPR005112 354 417
A2RUS2 IPR005113 6 83
A2RUS2 IPR015943 915 1196
A2VEC9 IPR008979 2062 2226
A2VEC9 IPR001007 4986 5042
A2VEC9 IPR001007 1965 2025
A2VEC9 IPR001007 526 591
